,x
1,"“리콜 대상 車 134만대, 결함시정 없이 도로 활보”"
2,2019-09-24 11:09
3,"결함이 드러나 리콜 대상이 된 자동차 중 134만대가 리콜을 받지 않고 도로를 활보하고 있는 것으로 나타났다.

국회 국토교통위원회 소속 자유한국당 송언석 의원이 국토교통부로부터 자료를 제출받아 분석, 24일 공개한 자료에 따르면 2015년~2019년 2분기 리콜 대상 자동차(이륜자동차 포함) 700만여대 중 18.9%에 해당하는 133만여대가 현재까지 결함을 시정하지 않고 운행하고 있었다.

르노삼성자동차 S모델의 경우 에어백이 펼쳐질 때 과도한 폭발압력에 의해 내부 금속파편이 탑승자에게 상해를 입힐 가능성이 제기돼 2015년12월 리콜을 개시했지만 현재까지 시정율은 52.6%에 불과하다.

BMW코리아의 X모델 2종류의 경우 용접불량으로 어린이보호용 좌석이 제대로 고정되지 않아 안전사고가 발생할 가능성이 제기돼 2016년8월 리콜이 개시되됐지만 시정율은 40%대에 그쳤다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

완성차업체 등은 제작 결함이 발견된 경우, 우편·휴대폰 문자 등을 통해 리콜 개시를 구매자들에게 알리고 1년6개월 이상 시정조치 기간을 진행해 자동차와 부품의 수리·교환·환불·보상 등을 시행하고 있다.

하지만 2015년~2019년 2분기 리콜 대상 자동차 중 국산 자동차 86만3000여대, 외제 자동차 42만6000여대, 이륜 자동차 4만7000여대 등 134만 여대의 결함이 아직 시정되지 않고 있다.

리콜 자동차 시정율은 81.1%로, 국산 자동차의 시정율이 83.4%로 가장 높았고 이륜자동차의 시정율이 40.2%로 가장 저조했다.

리콜 건수는 외제 자동차가 3528건(86.6%)으로 가장 많았지만, 리콜대상 대수는 국산 자동차가 519만여대(73.4%)로 가장 많았다. 또 강제리콜 대상 24만 여대 중 15.0%인 3만6000여 대의 결함도 아직까지 시정되지 않은 것으로 확인됐다.

송언석 의원은 “운전자 자신은 물론, 타인의 안전까지 위협할 수 있는 리콜 자동차들이 결함을 시정하지 않은 채 도로를 활보하고 있는데 대해 우려를 느낀다”며 “자동차 소유주 등은 리콜 안내를 받은 즉시 결함을 시정해 자동차 안전 운행을 위해 노력해야 하고, 기업은 리콜이 원천적으로 발생하지 않도록 자동차 제작 작업 전반에 대한 관리·감독을 강화해야 한다”고 말했다.

【서울=뉴시스】"
4,"아우디폭스바겐코리아, 퓨처 모빌리티 전시 개최"
5,2019-09-24 10:58
6,"아우디폭스바겐코리아가 주최하고, 한국사회투자가 주관하는 ‘새로운 시작 The Next Chapter’ 전시가 오는 26일부터 10월 13일까지 혜화동에 위치한 JCC아트센터에서 개최된다. 이번 전시는 모빌리티의 변화가 가져올 미래변화에 대한 이해를 높이고, 아우디폭스바겐코리아가 그리는 퓨처 모빌리티의 비전을 공유하기 위해 마련됐다.

전시는 1층 프롤로그를 시작으로 4층에서 3층, 2층 순으로 진행된다. 공간에 따라 과거와 미래, 현재, 상상을 키워드로 모빌리와 관련한 콘텐츠로 구성했다. 최근 프랑크푸르트모터쇼에서 세계 최초로 공개된 순수전기차 ID.3를 비롯한 ID.패밀리 모델들을 가상현실(VR)을 비롯한 체험을 통해 만나볼 수 있다. 오조봇 체험, 리액션 게임 등 다양한 이벤트들도 마련된다. 이번 전시는 누구나 무료로 관람 및 체험이 가능하다.

동아닷컴 정진수 기자 brjeans@donga.com


주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사"
7,"르노삼성, ‘자동차산업에서의 4차 산업혁명’ 포럼 참가"
8,2019-09-24 10:38
9,"르노삼성자동차는 지난 23일 한불상공회의소가 주관한 ‘자동차산업에서의 4차 산업혁명’ 특별 포럼에 참가했다고 24일 밝혔다.

국회에서 진행된 이번 행사는 4차 산업혁명 흐름 속에서 변화하고 있는 자동차 산업 패러다임과 신기술 개발에 대해 논의하고 미래 자동차산업이 나아가야 할 방안에 대해 고민하고 공유하는 자리로 마련됐다. 이날 포럼에는 ‘다비드 피엘 잘리콩’ 한불상공회의소 회장을 비롯해 한국과 프랑스, 캐나다 등 3개국 관계자 80여명이 참석했다.

르노-닛산-미쓰비시 얼라이언스에서 엔지니어링 글로벌 디렉터를 맡고 있는 ‘소피 슈미틀린(Sophie Schmidtlin)’ 이사와 이경수 서울대 교수, 현영진 엠디이 이사가 주제 발표를 진행했다. 슈미틀린 이사는 자동차산업 트렌드 변화를 주제로 전기차와 자율주행, 커넥티드카 등 변화하는 3가지 핵심요소에 대해 발표했다. 또한 커넥티드카 관련 새로운 기술이 자동차산업에 미칠 영향, V2X 로드맵 등에 대해서도 의견을 펼쳤다.
르노삼성에 따르면 르노그룹은 오는 2022년까지 주요 시장에서 커넥티드 서비스 구현시킨다는 계획이다. 또한 얼라이언스 플랫폼을 활용해 자율주행차 15종과 순수 전기차 8종 등을 선보일 예정이다.

한편 르노삼성은 지난 2월 한국과 프랑스 정부의 공동 지원을 받아 진행 중인 ‘단군 프로젝트’를 소개한 바 있다. 이 프로젝트는 일반 자율주행 기술보다 간단한 접근방식인 저속 자율주행 알고리즘의 ‘혼잡 주행 지원시스템(섬)’을 개발하는 연구로 현재 한양대와 LG, 발레오 등이 개발에 참여하고 있다. 여기에 르노그룹은 경기도 성남시 스타트업캠퍼스에 ‘르노 오픈 이노베이션랩코리아’를 설립하고 5G 커넥티비티 기술을 비롯해 사물인터넷(IoT), 인공지능(AI), HMI 등 미래차 관련 연구를 진행하고 있다.
동아닷컴 김민범 기자 mbkim@donga.com
관련기사
정의선 현대차 수석부회장, “2024년 자율주행차 양산”
현대차그룹, 세계 최고 자율주행 기술 공동개발
관련기사 3건 더보기"
10,“한국 안 가요”…日 관광객 성장률 한 자릿수로 ‘뚝’
11,2019-09-24 10:36
12,"여행업계에선 일본의 경제보복 조치 이후 방한 일본 여행객 수의 감소세는 8월부터 윤곽이 나타날 것으로 점쳐왔다. 뉴스1

방한 일본관광객 수의 상승세가 꺾이기 시작했다. 올해 1월부터 방한 일본인 관광객 수는 전년 대비 두 자릿수 성장을 이어왔지만, 8월부터 성장률이 겨우 한자릿수에 머물렀다.

24일 한국관광공사가 발표한 한국관광통계 자료에 따르면 지난 8월 한국을 방문한 일본인 관광객은 32만9652명으로, 지난해 같은 기간(31만 5025명)보다 4.6%포인트 늘었다.

일본의 경제보복 조치가 일어난 7월까지도 누적 방한 일본인은 192만8516명으로 전년과 비교해 25.5% 성장했다.

일본 관광객의 방한 감소는 우리 국민들의 일본여행 보이콧에 대한 연쇄 반응으로 이해된다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

관광공사 관계자는 “본격적으로 ‘일본여행 보이콧’ 운동은 8월부터 확산됐다”며 “일부 저비용항공사(LCC)의 노선 운항 감축 및 중단으로 증가세가 다소 둔화된 것으로 본다”고 분석했다.

올해 남은 기간 일본 관광객 수 내림세가 지속될 가능성도 높은 상황이다.

통계 자료를 국가별로 보면 일본과 더불어 올해 초부터 두 자릿수 성장세를 이어온 방한 중국 관광객 수는 8월에도 변함없이 큰 폭으로 증가했다.

8월 한국을 방문한 중국인 관광객은 57만8112명으로 지난해 같은 기간보다 20.9% 증가했다.

관광공사는 2017년 중국의 사드 배치 보복 조치인 ‘한국단체여행금지령’ 이후 주요 업체 등과 중국의 개별여행(FIT)과 인센티브 단체 관광을 겨냥해 활발한 마케팅 활동을 펼쳐 왔다.

8월 중국의 인센티브(기업 포상) 단체관광객 수의 경우 전년 대비 약 205% 증가한 5만9883명을 기록했다.

이밖에 국가별로 보면 대만은 8.7%포인트 늘어난 10만9273명, 미국은 12.0% 포인트 늘어난 8만6586명, 홍콩은 4.0% 포인트 늘어난 6만5958명에 달했다.

특히 홍콩 방한객 수는 정치적인 불안정 상황에도 불구하고, 일부 항공 노선을 증편하거나 항공사 할인 프로모션 등으로 4%포인트 늘어났다.

한편 지난 8월 여행 성수기 기간이었지만 우리 국민의 해외여행객 수는 242만7634명으로 전년 대비 3.7% 줄었다.

(서울=뉴스1)"
13,삼성전자<U+2219>SK하이닉스 ‘반도체 트라이앵글’로 주목 받는 대규모 주거지 어디?
14,2019-09-24 10:10
15,"용인한숲시티

SK하이닉스 용인에 최대 단지… 기흥 삼성·이천 SK와 ‘진격의 삼각주’
기존 반도체 단지와 시너지… 6800가구 규모의 초대형 브랜드 아파트 수혜 기대

삼성전자, SK하이닉스 등 세계적인 한국 반도체 기업들이 한 곳을 향하고 있다. 바로 경기 남부지역으로, 한국형 실리콘밸리의 탄생과 그 일대 파급효과가 크게 기대되고 있다.

경기 남부의 대표적인 반도체클러스터는 삼성전자 기흥캠퍼스다. 1983년 설립 이후 30년 간 한국 반도체 산업을 이끌어 온 곳으로, 용인시 기흥구 서농동에 위치한다. 10만6,000여㎡ 규모의 SK하이닉스 이천캠퍼스도 핵심 생산 기지로 통한다.

이어 최근 SK하이닉스가 용인시 처인구에 448만여㎡ 규모의 반도체 클러스터를 조성하겠다고 결정했다. 기존 이천 SK하이닉스(10만6,000여㎡)보다 40배 이상 큰데다 삼성전자가 세계 최대 규모로 만든 반도체공장인 삼성반도체 평택캠퍼스(289만여㎡)보다도 크다.

특히 처인구에 지어지는 SK하이닉스 용인반도체클러스터는 삼성전자 기흥캠퍼스, SK하이닉스 이천 캠퍼스와 함께 ‘반도체 트라이앵글’로 불리며 업체들 간의 활발한 교류 및 높은 시너지 효과가 기대되고 있다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

이처럼 국내 최대 고부가가치 첨단산업인 반도체 업계가 경기 남부를 중심으로 터를 잡으면서 지역 가치도 상승 중이다.

용인시에 위치한 H 공인중개사는 “SK하이닉스 반도체 클러스터 착공 계획이 나오고 난 후 처인구 원삼면의 땅값은 3~5배 이상 올랐다”며 “평당 40만∼50만원 하던 농지가 150만원을 넘어섰고, 입지가 더 좋은 땅의 경우 평당 300만원 선에서 500만∼600만원까지 치솟았다”고 말했다.

실제로 국토교통부가 밝힌 올 1분기 전국 지가변동률을 살펴보면 1년 전 대비 용인 처인구의 지가는 1.85% 올랐다. 이는 시군구별 가장 높은 수치며 같은 기간 전국(0.88%), 서울(1.0%), 경기도(0.99%) 등 주요 지역을 크게 웃도는 것으로 나타났다.

처인구 일대에 가장 큰 규모의 신규 아파트 단지인 ‘e편한세상 용인 한숲시티(2018년6월 입주, 6725세대)’도 수혜를 받고 있다. 단지 내 5단지의 로열동 전용 84㎡은 SK하이닉스의 반도체 클러스터 입지 선정에 대한 이야기가 나온 후 약 2000만원 프리미엄이 형성됐다.

e편한세상 용인 한숲시티 분양관계자는 “SK하이닉스의 초대형 반도체 클러스터 조성 소식에 용인 한숲시티 입주민을 비롯 많은 지역민들의 지역가치 상승에 대한 기대감이 커지고 있다”며 “최근 아파트 단지 내 1단지인 ‘e편한세상 용인 파크카운티’를 분양했는데 인근에 대단지 브랜드 아파트가 희소해 주목받고 있다”고 전했다.


동아닷컴 정진수 기자 brjeans@donga.com"
16,6호선 초역세권에 한강뷰 자랑하는 ‘상암 시티프라디움 리버’
17,2019-09-24 10:01
18,"상암 시티프라디움 리버 투시도

6호선 마포구청역 초역세권에 한강뷰, 전면 트윈복층 설계를 자랑하는 ‘상암 시티프라디움 리버’가 분양을 앞두고 있다.

서울시는 1인가구 비율이 지속적으로 상승하고 있는 만큼 오피스텔 수요가 꾸준히 증가하고 있으며, 그 중 마포구는 인근 지역 대비 신규 공급이 적은 상황이다. 마포구 매매가 추이 분석결과 2015년 이후 지속적으로 상승 중이며, 성산동은 2015년 대비 16.7%가 상승했다. 또한 복층은 수요가 높아 일반층을 상회하는 월세료를 받을 수 있다.

상암 시티프라디움 리버는 마포구청역 도보권에 위치한 초역세권 및 내부순환로, 월드컵로 인접 등으로 우수한 교통인프라를 갖추고 있다. 이에 인근에 위치한 대학교 학생들과 DMC 종사자들이 선호할 것으로 보인다.

분양 관계자는 “2억원 초반대의 합리적인 분양가에 공급될 예정”이라며 “교통이 편리해 인근 직장인이나 오피스텔을 구하는 대학생 등 풍부한 배후수요로 공실이 없을 것으로 전망된다”고 전했다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

한편 상암 시티프라디움 리버는 공간활용이 뛰어난 전면 트윈복층 설계에 풀옵션 가전 완비로 실속있고 편리한 생활을 누릴 수 있을 것으로 보인다. 냉장고, 전기쿡탑, 세탁기, 전자레인지, TV 등 풀옵션 빌트인으로 비용 절감이 가능하며 지역난방시스템으로 관리비 절감과 더불어 안전사고위험도 낮다.

카카오 IoT 시스템과 고화질 CCTV 설치로 생활의 편리함을 더해 보안까지 갖췄으며, 인근에 평화의공원 및 월드컵경기장, 홈플러스, 메가박스 등이 위치해 높은 주거 만족도를 보일 것으로 예상된다.

동아닷컴 최용석 기자 duck8@donga.com"
19,“미성년자 배당소득 5년來 최대…801억원→2288억원”
20,2019-09-24 9:58
21,"1인당 배당소득도 44만원→136만원…3.1배↑
만 0~1세 배당소득도 평균 165만원에 달해

미성년자들이 주식으로 벌어들인 배당소득이 2300억원에 육박하며 5년내 가장 가장 높은 수준을 기록한 것으로 나타났다.

24일 국회 기획재정위원회 소속 김정우 더불어민주당 의원이 국세청으로부터 제출받은 ‘미성년자 연령별 배당소득 현황’ 자료에 따르면 지난 2013~2017년 5년간 배당소득을 올린 미성년자는 총 82만2311명으로 이들의 배당소득금액은 총 7177억원으로 집계됐다.

배당소득을 올린 미성년자의 수는 2013년 18만956명, 2014년 16만5425명, 2015년 17만3302명, 2016년 13만5394명, 2017년 16만7234명으로 큰 변화는 없었다.

반면 이들이 올린 배당소득은 2013년 801억원에서 2014년 1232억원, 2015년 1492억원, 2016년 1361억원, 2017년 2288억원으로 5년새 2.9배 증가했다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

이에 따라 미성년자 1인당 평균 배당소득금액도 2013년 44만원에서 2014년 74만원, 2015년 86만원, 2016년 100만원, 2017년 136만원으로 매년 큰 폭의 증가세를 보였다.

특히 미취학아동(만0~6세)에 대한 배당소득이 2013년 81억원에서 358억원으로 크게 증가했으며 이들의 1인당 평균 배당소득도 27만원에서 133만원으로 4.8배 이상 늘었다.

걸음마도 시작하기 전인 만0세~1세에 평균 165만원의 배당소득을 올리는 ‘금수저’도 지난해 1603명으로 집계됐다.

김 의원은 “미성년자 배당소득의 지속적 증가는 조기 상속·증여 영향이 큰 것으로 판단된다”며 “미성년자에 대한 상속·증여에 대한 세금 집행이 제대로 공정하게 이뤄지고 있는지 국세청의 꼼꼼한 조사·관찰이 필요하다”고 말했다.


【서울=뉴시스】"
22,"[속보]김포·파주 돼지열병 발생 농가, 첫 발생지와 차량 역학관계"
23,2019-09-24 9:51
24,"[속보]김포·파주 돼지열병 발생 농가, 첫 발생지와 차량 역학관계

【세종=뉴시스】



주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사
아프리카돼지열병 국내 첫 발생
인천 강화에서도 ‘돼지열병’ 의심 신고…“정밀검사 중”
김포·파주 돼지열병 발생 농가, 첫 발생지와 차량 역학관계
파주·연천에 이어 김포에도 아프리카 돼지열병 확진 ‘비상’"
25,"‘샌더스 팜스 준우승’ 임성재, 세계랭킹 54위→47위"
26,2019-09-24 9:50
27,"안병훈 46위…랭킹 1위는 '브룩스 켑카'

미국프로골프(PGA) 투어 샌더슨 팜스 챔피언십(총상금 660만달러)에서 연장전 끝 준우승을 차지한 임성재(21)가 세계 랭킹을 47위까지 끌어올렸다.

임성재는 23일(한국시간) 미국 미시시피주 잭슨의 잭슨 컨트리클럽(파72·7248야드)에서 최종합계 18언더파 270타를 쳤다.

동타를 기록한 세바스티안 무뇨스(콜롬비아)와 연장전 끝에 아쉽게 준우승을 차지했다.

하지만 순위는 지난주 54위에서 47위로, 7계단 상승했다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

이 대회에서 3위에 오른 안병훈(28)은 지난주 48위에서 2계단 상승한 46위에 자리했다.

179위였던 무뇨스는 이번 우승으로 108위로 껑충 뛰어올랐다.

1위는 브룩스 켑카(미국)가 지켰고 로리 맥킬로이(북아일랜드), 더스틴 존슨(미국), 저스틴 로즈(잉글랜드) 등이 뒤를 이었다.

【서울=뉴시스】"
28,"잇단 ‘바이오 쇼크’, 헬릭스미스도?…“약물혼용 가능성 발견”"
29,2019-09-24 9:47
30,"김선영 헬릭스미스 대표이사가 24일 오전 서울 영등포구 NH투자증권 강당에서 유전자치료제 ‘엔젠시스(VM202-DPN)’의 미국 임상 3상 결과 설명을 하고 있다. 뉴시스

헬릭스미스(구 바이로메드)가 당뇨병성신경병증 유전자치료제 ‘엔젠시스’(VM202-DPN)의 미국 임상3상 결과 발표를 연기한다. 일부 환자에서 위약(僞藥·Placebo)과 약물 혼용 가능성이 발견됐기 때문이다.

헬릭스미스는 23일 “DPN 임상3상 일부 환자에서 위약과 약물 혼용 가능성이 발견됐다”며 “현재의 데이터만으로는 혼용 피험자에 대한 정확한 확인이 불가능해 별도 조사가 필요한 상황”이라고 공시했다.

이어 “11월에 제출할 최종보고서와 12월로 예상되는 임상3상 종료 미팅에서 이를 상세하게 미국 식품의약국(FDA) 측에 보고할 예정”이라고 덧붙였다.

헬릭스미스는 “피험약 혼용 가능성으로 플라시보와 엔젠시스의 효과가 크게 왜곡되어 명확한 결론 도출이 불가능하게 됐다”고 말했다. 예를 들어 모든 피험자를 분석 대상으로 하는 ITT(Intent-to-treat) 군에서 1차 평가지표인 3개월 통증감소 효과의 차이는 위약과 대비 통계적으로 유의미하지 않게 나왔지만, 오류 가능성이 높은 환자들을 제외한 분석에서는 통계적으로 유의미한 통증 효과가 있었다는 설명이다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

안정성 부분에 대해선 “임상 피험자 전원에 걸쳐 이상반응 빈도가 매우 낮게 나왔고, 약물과 관련되었다고 판단한 중대한 이상반응(SAE)은 없었다”며 “주사부위 반응도 1건을 제외하고는 모두 경미한 사례였다”고 밝혔다. 그러면서 “위약과 엔젠시스군 간의 피험약 혼용 가능성과 상관없이 엔젠시스의 안전성이 다시 한번 입증됐다”고 했다.

당초 헬릭스미스 이달 말 임상3상 결과 발표를 예정했다. 하지만 약물 혼용 가능성이 발견되면서 후속 시험을 준비하고 있다. 기존보다 규모는 2~3배 작지만 2~3개의 시험을 진행해 보다 정밀하고 효율적으로 관리하는 방안 등을 마련 중인 것으로 알려졌다. 향후 6개월 내 시작해 2021년 말~2022년 1/4분기 사이에 시험을 모두 종료하는 것을 목표로 하고 있다.

올 들어 바이오주 악재는 끊임없이 나왔다. 코오롱티슈진의 인보사 케이주 판매 중단, 신라젠의 펙사벡 글로벌 임상3상 중단 권고 등 바이오 쇼크가 이어졌다.

여기에 헬릭스미스까지 임상3상 결과 발표를 연기하면서 주주들의 불안감이 커지고 있다. 24일 오전 9시45분 기준 코스닥시장에서 헬릭스미스 주가는 전날 대비 29.99%(5만1400원) 떨어진 12만 원을 기록하고 있다.
24일 오전 헬릭스미스 주가(코스닥시장). 한국거래소 제공

윤우열 동아닷컴 기자 cloudancer@donga.com
오늘의 핫이슈"
31,“요일마다 혜택이 다르네”
32,2019-09-24 9:40
