"","x"
"1","ASF 발생 김포 돼지농장 방문 사료차량, 충북 음성·진천 경유"
"2","2019-09-24 14:35"
"3","도, 24일 전국 돼지농장·종사자·출입차량 대상 일시 이동중지

경기도 김포시 통진읍의 한 돼지농장이 지난 23일 아프리카돼지열병(ASF) 확진 판정을 받은 가운데 이 농장을 방문했던 차량이 충북도내 농가 2곳을 경유한 것으로 확인됐다.

충북도는 이들 농가에 이동제한 조처를 내렸다. 현재 ASF를 의심할 만한 증상은 나타나지 않은 상태다.

24일 도에 따르면 ASF가 발생한 김포 농장과 차량 등 간접 역학관계에 있는 도내 농가는 2곳이다.

지난 15일 김포 돼지농장을 방문한 사료 차량이 19일 음성, 21일 진천의 돼지농가를 각각 방문했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

도는 방문일로부터 21일 동안 이동제한 조치를 했다. 음성 농가는 다음 달 10일까지, 진천은 같은 달 12일까지다.

도 관계자는 “전화 예찰 등 상황을 수시로 확인하고 있다”며 “2곳 모두 ASF 증상이 나타나지 않았다”고 말했다.

이날 오전 ASF 확진 판정을 받은 경기도 파주시 적성면 자장리 양돈농가와 관련이 있는 충북 지역 농가는 없는 것으로 파악됐다.

충북도 재난안전대책본부는 ASF가 확산할 조짐을 보이자 차단 방역을 더욱 강화했다.

우선 24일 정오부터 48시간 동안 전국 돼지농장, 관련 종사자, 출입 차량을 대상으로 일시 이동중지를 발령했다.

이 기간에 양돈농가와 축산관계 시설에 대한 일제소독을 추가로 연장해 시행한다.

도는 중점관리지역 6개 시·군(경기 파주·연천·포천·동두천·김포, 강원 철원)과 강화도 등 임진강 수계에 있는 시·군에 대해 도내 도축장으로 돼지뿐 아니라 소 반입도 금지했다.

도내 사료공장에서 ASF 발생지역과 중점관리 시·군 내 사료 배송도 금지했다. 축산 관계자의 ASF 발생지역 출입을 막아 사람·차량에 의한 확산 위험을 원천 차단할 방침이다.

현재 도내에는 17개 거점소독소가 운영 중이며 114개 통제초소가 설치됐다. 도는 농가 간 차량 이동 등을 감시할 통제초소를 138개로 확대할 계획이다.

남은 음식을 비료로 사용하거나 밀집사육 농가 등 63개 취약 농가에 대한 정밀 검사도 진행 중이다. 다음 달 4일 마무리될 예정이다.

태풍 ‘타파’로 소독약 등이 쓸려갔을 것으로 보고 생석회를 추가 살포하기로 했다. 지난 19일 67t에 이어 23일 67t의 생석회를 농가에 지원했다. 멧돼지 기피제 1.5t도 추가 공급했다.

도는 소규모 양돈농가의 도태 사업을 추진한다. 도내 도축장 10곳은 오는 27일까지 특별 방역 점검을 한다.

충북에는 농가 338곳이 62만8000만 마리의 돼지를 사육하고 있다.

【청주=뉴시스】
아프리카돼지열병 국내 첫 발생
파주 4번째 돼지열병 확진 농가, 하루 전 혈청검사는 ‘음성’
국정원 “돼지열병 北유입 명확지 않지만…평북 북부 돼지 전멸”
“더는 돼지 안키우렵니다”…ASF 확진에 파주 농장주 ‘한숨’"
"4","전 국정원 프락치 “5년간 50명 사찰…文정권서도 계속”"
"5","2019-09-24 14:29"
"6","민변·참여연대 등 자체 조사결과 발표
프락치 '김대표'와 질답해 보고서 내놔
""진술서, 국정원 원하는대로 허위 작성""
김대표 ""없는 죄 만들며 마음 무거워""
""최근엔 변호사 소모임 사찰 지시도""
시민단체 ""추가 프락치 제안 정황도""

국가정보원(국정원)이 ‘프락치’를 통해 민간인을 사찰하고 국가보안법 사건을 조작하려 했다는 의혹과 관련, 시민단체가 24일 자체 조사결과를 발표하고 국회·정부 차원의 진상규명을 촉구했다. 특히 이날 자리에는 국정원 프락치로 활동한 일명 ‘김대표’도 참석해 참회의 증언을 남겼다.

민주사회를 위한 변호사모임, 참여연대 등이 모인 ‘국정원감시네트워크’와 ‘국정원 프락치 공작사건대책위원회’는 이날 서울 종로구 참여연대에서 기자회견을 열고 “문재인 정부의 임기가 반환점에 이른 지금까지 국정원 개혁은 근본적인 진전이 없다”면서 “문재인 대통령은 이 사건의 진상조사와 재발방지 대책 마련을 직접 챙겨야 한다”고 촉구했다.

이들 단체는 이달 중 3일 간 이뤄진 김대표와의 질의응답을 바탕으로 한 보고서를 발표했다.

보고서에 따르면, 김대표는 국정원으로부터 가방에 든 녹음기와 ‘하이큐’라는 앱을 깐 갤럭시탭을 제공받아 회원이 1500여명에 이르는 시민사회단체 ‘통일경제포럼’에 가입, 5년간 모든 모임과 개인적인 대화 등을 전부 녹음해 제공했다. 총 사찰 대상자는 50명 가량이라고 전했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

김대표는 녹음 파일을 건네줄 때마다 국정원 경기지부에 가서 진술서를 작성했고, 그 횟수가 총 100회 이상이라고 밝혔다. 특히 김대표는 진술서가 국정원이 원하는 방향대로 허위로 작성됐다고 언급했다.

또 국정원은 김대표에게 한달에 200만원씩 지급하고, 허위 진술서를 작성할 때마다 50~80만원의 금원을 추가 지급한 것으로도 나타났다.

이날 기자회견에는 김대표가 마스크와 모자를 쓴 채 직접 자리에 참석해 참회하는 취지의 발언을 남기기도 했다.

그는 “사람들의 없는 죄를 만드는 일을 5년 가까이 하면서 마음이 무거웠다”면서 “그들(국정원)은 마치 현상금 사냥꾼처럼 ‘조금 더 많은 처벌을 대상자들이 받을 때 네가 받을 돈이 많아진다’, ‘너도 몇십억원 받을 수 있다’는 이야기를 계속하면서 가치판단을 무뎌지게 만들었다”고 말했다.

이어 “(애틋한 관계였던) 한 선배와 그의 남편을 사찰하라는 비인간적인 내용 때문에 그만둬야겠다고 생각했다”면서 “제가 너무나 부족한 인간이었고 정말 죄송하다”고 덧붙였다.

김대표와 이들 단체는 이번 정권 들어서도 프락치 활동은 계속됐고, 또 다른 프락치 정황이 있다는 언급도 내놨다.

그는 “문재인 정권이 들어왔을 때 기대했다. 제 역할이 끝날 것이라고 생각했다”면서 “하지만 국정원은 김대중, 노무현 때도 우리는 우리 할 일을 한다, 그러니 지금 하고 있는 사건들은 기회가 될 때 터뜨릴 것이라고 이야기했다”고 말했다.

이어 “최근 들어서는 몇몇 변호사들이 자주 만나고 다니면서 주체사상 신봉하며 소모임하는 것 아니냐며 알아보라고 국정원이 지시했고, 두 개의 기업이 북한 기업과 접촉하는 것 같다는 얘기도 했다”고 전했다.

이들 단체 측 관계자는 추가 프락치에 대한 질문에 “특정할 수는 없지만 정황상 그렇다. 이를 테면 피해자 모임에 프락치 제안을 받았는데 거절했다는 이야기도 있다”고 답하기도 했다.

‘국정원감시네트워크’와 ‘국정원 프락치 공작사건대책위원회’는 국정원 관련자들을 국정원법상 직권남용죄, 국가보안법상 무고날조죄, 특가법상 국고손실죄 혐의로 고발한다는 방침이다. 또 국회에 진상규명과, 수사권 폐지(이관) 등 국정원법 전면 개정을 촉구하는 활동도 벌여나간다는 계획이다.

【서울=뉴시스】"
"7","파주 4번째 돼지열병 확진 농가, 하루 전 혈청검사는 ‘음성’"
"8","2019-09-24 14:26"
"9","농식품부 아프리카돼지열병(ASF) 방역 담당 공무원들이 24일 정부세종청사 영상회의실에서 열린 농식품부-지자체 영상 ASF 상황점검회의에서 이재욱 차관의 모두발언을 듣고 있다. 경기도 김포와 파주에서 ASF가 추가로 번지면서 확진 농가는 파주 2곳, 연천 1곳, 김포 1곳 등 총 4농가로 늘었다. ⓒ News1

경기 김포에 이어 파주에서 또 아프리카돼지열병(ASF) 확진 판정이 나온 가운데 해당 농가가 불과 하루 전 혈청검사에서는 음성 판정을 받은 것으로 알려져 방역체계에 허점을 드러냈다.

방역당국에 따르면 지난 23일 오후 6시 40분 파주시 적성면 자장리의 한 양돈농가에서 돼지 1마리가 폐사해 아프리카돼지열병이 의심된다는 신고를 받고 정밀검사한 결과 이튿날 오전 4시에 양성 확진 판정이 내려졌다.

지난 17일 인근 연다산동 농장에서 최초 발생한 이후 17일 연천, 23일 김포에 이어 네 번째 확진이며 파주지역에서는 일주일 만에 또다시 발생했다.

그러나 이 농가는 돼지가 폐사하기 불과 하루 전인 22일 예찰 혈청검사에서 음성으로 나온 농장으로 알려졌다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

경기도는 17~18일 확진 판정을 받은 파주시 연다산동과 연천군 백학면 인근 82개 농가와 발생농가에 출입한 차량과 역학관계가 있는 도내 139개 농가 등 총 221개 농가의 돼지 7000여 마리에 대한 혈청검사를 벌여 모두 음성 판정이 나왔다고 밝혔다.

파주지역에서는 45개 농장에 대해 검역당국에서 혈청검사를 진행 22일에 22개 농장을, 23일 새벽에는 나머지 23개 농장에 대해 음성 판정을 내렸다.

이중 22일 음성판정을 받은 22개 농가에 포함됐던 적성면 자장리의 농가는 2273마리의 돼지 중 17마리의 혈액을 채취해 혈청검사를 벌였지만 감염되지 않은 것으로 확인됐다.

결국 방역당국의 ‘랜덤 검사’ 방식에 허점을 드러낸 셈이다.

파주시 관계자는 “마리 수가 많다 보니 전수조사는 엄두도 못 내는 상황에서 샘플이 아닌 돼지에서 언제든지 잠복 가능성이 있다”고 말했다.

한편 파주시는 이날 0시부터 해당 농가의 돼지에 대해 살처분 작업을 진행중인 가운데 오후 3시께 마무리할 예정이다.

또한 4차 발생농가 반경 3km 이내 16개 농가(2만972두)에 대해 방역당국의 살처분 여부 심사결과를 기다리고 있다.

(파주=뉴스1)
아프리카돼지열병 국내 첫 발생
ASF 정밀검사 ‘음성’ 판정 사흘만에 ‘확진’ 허점 드러냈다
ASF 발생 김포 돼지농장 방문 사료차량, 충북 음성·진천 경유
파주 4번째 돼지열병 확진 농가, 하루 전 혈청검사는 ‘음성’"
"10","조국, 검사들에 이메일…“검찰 개혁, 직접 듣겠다”"
